Channel  Owner  SlaveId  Periph
220.     4.      0x4     0x70
221.     4.      0x4     0x71
222.     4.      0x4     0x72
223.     0.      0x4     0xC0
224.     0.      0x4     0xC1
225.     4.      0x4     0xC2
226.     4.      0x4     0xC3
227.     4.      0x5     0x01
228.     4.      0x5     0x10
229.     4.      0x5     0x14
230.     4.      0x5     0x15
231.     4.      0x5     0x16
232.     4.      0x5     0x17
233.     4.      0x5     0x18
234.     4.      0x5     0x19
235.     4.      0x5     0x1A
236.     4.      0x5     0x1B
237.     4.      0x5     0x1C
238.     4.      0x5     0x1D
239.     4.      0x5     0x1E
240.     4.      0x5     0x1F
241.     4.      0xe     0x05
242.     4.      0xe     0x06
243.     0.      0xe     0x08
244.     4.      0x1     0x48
245.     4.      0x1     0x49
246.     4.      0x3     0xA0
